,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
81,B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""",Sherman,"""2302 Packers Ave""",Madison,WI,53704,43.1233893,-89.3553901,4.0,34,1,American (Traditional);Nightlife;Dive Bars;Restaurants;Bars
471,ugdUuApH3pYXggW5qpbALg,"""Mr. Torta's""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716,43.083976745,-89.3033632212,3.5,19,1,Restaurants;Mexican;Latin American
836,5Y-p9QJLrg2P0I8RjJ9TTQ,"""Chang Jiang""",,"""4929 Commercial Ave""",Madison,WI,53704,43.105634146499995,-89.2967010739,3.0,9,1,Restaurants;Chinese
1400,GdnLAgRXt43eISMtJEOZRg,"""Sushi Express""",Capitol,"""610 University Ave""",Madison,WI,53715,43.073336100000006,-89.396349,3.5,76,1,Japanese;Restaurants;Sushi Bars
1510,B7wipW2uZRj7syuQiRTH4A,"""Pickle Jar""",South Campus,"""E Washington Pinckney""",Madison,WI,53714,43.070924184700004,-89.4064730428,4.0,11,1,Barbeque;Restaurants;Food Trucks;Local Flavor;Food
1704,3QfcfPCJSo0z2v1bkdUemQ,"""Restaurant Magnus""",Capitol,"""120 E Wilson St""",Madison,WI,53703,43.074057,-89.379716,4.0,34,0,Nightlife;Restaurants
1906,Y5Vbtaj_pkrhb99V4Q-53Q,"""Denny's""",,"""433 S Gammon Rd""",Madison,WI,53719,43.0582431572,-89.50213640930001,3.0,19,1,American (Traditional);Diners;Restaurants;Breakfast & Brunch
1969,RMkBZDwEbcv5Ctd-a2A0Lw,"""Gino's Italian Deli""",,"""4606 Verona Rd""",Madison,WI,53711,43.0351337,-89.4562756,4.0,62,1,Restaurants;Sandwiches;Specialty Food;Grocery;Food;Pizza;Italian;Delis
2043,hvazqoUUIZEISCu5CiWKPA,"""Arbat""",,"""3000 Cahill Main""",Madison,WI,53711,43.0179055,-89.4239869,4.0,5,0,Restaurants;Russian
2213,pNgDhHaeFkWQW71NzT9wzg,"""KFC""",,"""1516 Greenway Cross""",Madison,WI,53713,43.0315,-89.4074,1.0,5,1,Restaurants;Fast Food;Chicken Wings;Food
2240,mKT30qU_MlLj4Ps82JAZ8w,"""Uno Pizzeria & Grill""",High Crossing,"""3010 Crossroads Dr""",Madison,WI,53718,43.1354903,-89.29081190000001,3.0,65,1,Pizza;American (Traditional);Restaurants;Gluten-Free
2241,X4w6_iAqN8ZqZ15a7YWPgw,"""Mr Brews Taphouse""",High Crossing,"""5271 High Crossing Blvd""",Madison,WI,53718,43.1380457692,-89.2894092848,3.0,34,1,Beer Bar;Burgers;Nightlife;Bars;Restaurants
2283,8fArAA0gwfUbb3uWotd5mw,"""Ocean Grill""",South Campus,"""117 Mrtn Lthr Kng Jr""",Madison,WI,53703,43.07305170000001,-89.4012302,3.5,30,0,Seafood;Restaurants
2294,PT0N41nUD3CErvn046JEhg,"""Red Pepper Chinese Restaurant""",Hawthorne,"""1518 N Stoughton Rd""",Madison,WI,53704,43.117649799999995,-89.32545809999999,4.5,3,0,Restaurants;Chinese
2310,84WYW7OfV-IXUJk95EL5_Q,"""Samba Brazilian Grill""",Capitol,"""240 W Gilman St, Fl 2""",Madison,WI,53703,43.07546,-89.393063,3.5,173,1,Restaurants;Brazilian
2442,Vbkb2shDxUE8H3PzrFnypA,"""Ella's Deli""",Eken Park,"""2902 E Washington Ave""",Madison,WI,53704,43.103513299999996,-89.344598,3.0,249,1,Local Flavor;Restaurants;Burgers;Museums;American (Traditional);Delis;Arts & Entertainment;Food;Ice Cream & Frozen Yogurt
2448,3a1w3Ufs9CCC3GJTAV8EpQ,"""McDonald's""",,"""4500 University Ave""",Madison,WI,53705,43.075891999999996,-89.454836,1.5,6,1,Fast Food;Restaurants;Burgers
2674,tORH_LDga3t1bbuluhuxiQ,"""Smoky's Club""",,"""3005 University Ave""",Madison,WI,53705,43.074981,-89.44173570000001,3.0,70,1,Steakhouses;Nightlife;Venues & Event Spaces;Pubs;Bars;Event Planning & Services;Diners;Restaurants;Seafood
2886,-uMpSkdN39sz9MbjkauVTQ,"""Taquitos Marimar""",Capitol,"""Downtown Library Mall""",Madison,WI,,43.0755245,-89.3989878,4.5,6,1,Restaurants;Mexican;Food;Food Trucks
2908,ecXP80GWT6zZ2qqZHpUCtQ,"""Muramoto Downtown""",Capitol,"""108 King St""",Madison,WI,53703,43.074789700000004,-89.38120713059999,4.0,15,1,Bars;Nightlife;Cocktail Bars;Sushi Bars;Restaurants;Asian Fusion
3105,KLJmSYpq81fy0gXri-tAAw,"""Firefly""",Regent,"""2701 University Ave""",Madison,WI,53705,43.073145200000006,-89.43440179999999,1.5,5,0,Restaurants
3310,H_og8Pdq2ijAx1QrWjCMNQ,"""Hyvee Market Cafe""",Midvale Heights Community,"""675 S Whitney Way""",Madison,WI,53711,43.0509638462,-89.4728949666,3.5,5,1,American (Traditional);Restaurants;Cafes
3444,CfW-088nFNuUF9O7363lwA,"""Panera Bread""",Capitol,"""656 W Washington Ave""",Madison,WI,53703,43.067837,-89.395321,3.0,22,1,Food;Restaurants;Sandwiches;Bagels;Soup;Bakeries;Breakfast & Brunch;Salad
3773,29iErFPoWBTbIVPpp9qSyg,"""Ohio Tavern""",Schenk - Atwood,"""224 Ohio Ave""",Madison,WI,53704,43.09389470000001,-89.3473282,4.0,34,1,Mexican;Nightlife;Restaurants;Karaoke;Tacos;Dive Bars;Bars
