,Unnamed: 0,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,cuisine_grp,american,soup,comfort,zip_area
0,81,B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""",Sherman,"""2302 Packers Ave""",Madison,WI,53704.0,43.1233893,-89.3553901,4.0,34,1,American (Traditional);Nightlife;Dive Bars;Restaurants;Bars,american,american,other,other,northeast
1,471,ugdUuApH3pYXggW5qpbALg,"""Mr. Torta's""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716.0,43.083976745,-89.3033632212,3.5,19,1,Restaurants;Mexican;Latin American,latin american,other,other,other,northeast
2,836,5Y-p9QJLrg2P0I8RjJ9TTQ,"""Chang Jiang""",,"""4929 Commercial Ave""",Madison,WI,53704.0,43.105634146499995,-89.2967010739,3.0,9,1,Restaurants;Chinese,asian,other,other,other,northeast
3,1400,GdnLAgRXt43eISMtJEOZRg,"""Sushi Express""",Capitol,"""610 University Ave""",Madison,WI,53715.0,43.07333610000001,-89.396349,3.5,76,1,Japanese;Restaurants;Sushi Bars,asian,other,other,other,southwest
4,1510,B7wipW2uZRj7syuQiRTH4A,"""Pickle Jar""",South Campus,"""E Washington Pinckney""",Madison,WI,53714.0,43.070924184700004,-89.4064730428,4.0,11,1,Barbeque;Restaurants;Food Trucks;Local Flavor;Food,other,other,other,other,northeast
5,1704,3QfcfPCJSo0z2v1bkdUemQ,"""Restaurant Magnus""",Capitol,"""120 E Wilson St""",Madison,WI,53703.0,43.074057,-89.379716,4.0,34,0,Nightlife;Restaurants,other,other,other,other,between lakes
6,1906,Y5Vbtaj_pkrhb99V4Q-53Q,"""Denny's""",,"""433 S Gammon Rd""",Madison,WI,53719.0,43.0582431572,-89.50213640930002,3.0,19,1,American (Traditional);Diners;Restaurants;Breakfast & Brunch,american,american,other,other,southwest
7,1969,RMkBZDwEbcv5Ctd-a2A0Lw,"""Gino's Italian Deli""",,"""4606 Verona Rd""",Madison,WI,53711.0,43.0351337,-89.4562756,4.0,62,1,Restaurants;Sandwiches;Specialty Food;Grocery;Food;Pizza;Italian;Delis,american,american,other,other,southwest
8,2043,hvazqoUUIZEISCu5CiWKPA,"""Arbat""",,"""3000 Cahill Main""",Madison,WI,53711.0,43.0179055,-89.4239869,4.0,5,0,Restaurants;Russian,other,other,other,other,southwest
9,2213,pNgDhHaeFkWQW71NzT9wzg,"""KFC""",,"""1516 Greenway Cross""",Madison,WI,53713.0,43.0315,-89.4074,1.0,5,1,Restaurants;Fast Food;Chicken Wings;Food,american,american,other,comfort,southwest
10,2240,mKT30qU_MlLj4Ps82JAZ8w,"""Uno Pizzeria & Grill""",High Crossing,"""3010 Crossroads Dr""",Madison,WI,53718.0,43.1354903,-89.29081190000002,3.0,65,1,Pizza;American (Traditional);Restaurants;Gluten-Free,american,american,other,other,northeast
11,2241,X4w6_iAqN8ZqZ15a7YWPgw,"""Mr Brews Taphouse""",High Crossing,"""5271 High Crossing Blvd""",Madison,WI,53718.0,43.1380457692,-89.2894092848,3.0,34,1,Beer Bar;Burgers;Nightlife;Bars;Restaurants,american,american,other,other,northeast
12,2283,8fArAA0gwfUbb3uWotd5mw,"""Ocean Grill""",South Campus,"""117 Mrtn Lthr Kng Jr""",Madison,WI,53703.0,43.07305170000001,-89.4012302,3.5,30,0,Seafood;Restaurants,american,american,other,other,between lakes
