,business_id,weekday,hour,checkins
284,YLwXQbMN-4NvUs_U8brP-w,Fri,19:00,2
381,ewEDv_q-K0fV0FepkHB8sA,Sat,1:00,15
414,FlPAGqTovHc4mEIKJ7Q8Nw,Sun,16:00,2
458,i7NqPkLgLEBApeoBsPNvyA,Tue,18:00,1
540,0qh5uSAUDcVzC6hoPsAPvA,Thu,18:00,5
566,sdfmHavBrOZMMsiBv2sg7g,Fri,20:00,1
639,38VHBCYylBFmTQ0cFeCdAQ,Thu,20:00,1
684,VGKq16vCdPPHMoryy6XTHg,Wed,1:00,14
967,AR1w3ragHgRvnU71A7aaZA,Wed,21:00,1
1037,npqc1DO90A5TzavGmYyGhA,Tue,3:00,2
1333,lYbyy6TTmpk_mlYuYAWkDg,Thu,12:00,1
1520,QwGV_v3s9eOMzfWrFLUf6A,Sun,2:00,7
1552,miiptVrDH-qHT4wmI-Lk8g,Fri,18:00,1
1568,_euNvs0P14284FXN1vZ_Pw,Sat,20:00,4
1707,hOxNKZJ8wWg8Q165U7CCqg,Wed,1:00,14
1718,2-su3xdxOvyF0_2GZN4FLw,Thu,18:00,5
1970,IRfYEXJBQXxIN2d5pD_jKg,Thu,1:00,2
1972,nJClfvVwSrr2uuo_y2wO4w,Fri,20:00,1
2051,scLsLrgdvccvkPZADAj5Qw,Sat,19:00,1
2094,_DpnhekFOZDPNBDekWpx4A,Fri,22:00,1
2129,VbRT8CJlnCO9_rd0zW-rUw,Thu,17:00,1
2135,u84eyOBILlFQIc8fMFCoig,Sun,23:00,1
2355,1PUPTbQRums97s6yfTnA5A,Sat,2:00,4
2411,aYjZc-3aVbPIPaJgGiUK_A,Fri,1:00,8
2416,H6Gb3P21h4e_stdjFQO9oQ,Thu,19:00,3
2429,6_7_aSycZlRsfKENFiIi6g,Thu,15:00,1
2503,YgBQEX8dB27FdYj7PaPhPw,Thu,1:00,3
2504,9w18Hgg_UmI18YyVTP_E3Q,Wed,17:00,1
2518,BF4RaOWyjLDa9OvriKc1sA,Wed,21:00,3
2527,XxnQKE9jTD0bTE3LZ5NOtQ,Fri,19:00,9
2548,2YlUn3s132hNq5ueGeIiJg,Tue,2:00,5
2710,caMVCmuEG4rIV8HtTdU9jA,Sun,22:00,1
2711,fH-udnxBjJ0ldqMeaMAoSw,Sat,0:00,1
2750,eI1n8YoS2xKCCpkLQp-CYA,Sat,2:00,2
2803,kM0RJz-fyNaGk_EH765RKA,Mon,0:00,1
2939,Lu11ceuxJWh3dgRaPZGbsQ,Mon,21:00,1
3005,re8VPkZFSdkj1TvDKtCWYQ,Sat,2:00,2
3248,c_-0jkr-MkK2EdlbJaXgyw,Tue,17:00,3
3359,aVBFKYoF0AHuusNssaQpJA,Sun,3:00,12
3412,DQMaUSbKsRtB5lJD3egqxQ,Wed,2:00,1
3563,iRHTFqobTR2mQaDg2-Yojg,Thu,18:00,1
3615,BuS11AF9XSHEShscxQEzeg,Sun,18:00,30
3738,SpCVf25ya5jsHItdkpBpUg,Wed,20:00,1
3814,upI-oDFUBr_P9Q_waV7rmQ,Tue,13:00,1
3867,QJOr35t_jz9OPQ6IczMGJA,Sat,17:00,4
4181,H6Gb3P21h4e_stdjFQO9oQ,Tue,21:00,2
4247,0Rhr6lMMv6SyBgENN6h9Bg,Thu,14:00,1
4459,cf0LXwdYZ_9y0BVK-un9ow,Sat,2:00,6
4482,_FLNxsJ6T9WLkAdjwCLEqw,Fri,14:00,4
4596,jE5lfHPvsuNCJijXWaPqTw,Sat,6:00,1
4760,rECtpzeqtOdR5gIWiXoGfQ,Fri,1:00,1
4813,-jZ1TrvY56HFqmxjbpcU2A,Mon,18:00,3
5147,YUjiBKnlvfLkjFmUCqZf6A,Wed,2:00,1
5171,z9lOfnUorcbWR_xS0DSeHw,Mon,10:00,1
5390,iSOaf_-deg1nIlCm3cuzvg,Tue,23:00,1
5789,aRbUf7je5wv5ihTrB4vDhA,Wed,20:00,2
5841,kz5UANVmPxpllcoLnZBNhg,Sat,3:00,5
5867,NYxVVeeI-zz2qjPKk6FCwg,Sun,19:00,4
5869,dyJK_XniS782sIhzWS7z5g,Mon,22:00,1
5968,lJDnML8EVAc_muLXhN32Yw,Tue,14:00,1
6013,sPtBFklthW_Eq-SAAp068w,Wed,5:00,1
6126,Q5cwBuHfkt3NjnDrxA-h8w,Wed,18:00,1
6193,pUmECN5N94AQAe0DtptuYA,Sun,1:00,4
6218,4mYNxIZan0vuTqZ9BS7__w,Fri,17:00,1
6248,dfHA5n6e3f58nMCNHt589Q,Sat,23:00,6
6259,jte_XM9Zo7TX86jlKwq5gg,Mon,0:00,2
6351,NsDydu5clpNkiTahn3wQ2g,Sat,19:00,2
6365,d4JTF7OUIMpxpIHVl9wPJA,Fri,3:00,1
6413,B1xcP1i6-sZR48zjgpwyfg,Fri,5:00,1
6672,5paKcA2AAguJgZYBkr-I7A,Mon,11:00,2
6725,X4w6_iAqN8ZqZ15a7YWPgw,Wed,21:00,1
6770,o-D37YVIe0-ravg2HBG8Jw,Fri,1:00,3
6889,QxqMKO5IZCQUUWIx8nTDJw,Fri,12:00,2
6963,EGgsujG0ycRAnMqMYvylUg,Sat,5:00,2
7054,utQbhURq2LEPZX7XjmYB3g,Thu,0:00,1
7256,ubEa6XiMt6gOJ9xsUkbpEw,Fri,2:00,2
7340,sdfmHavBrOZMMsiBv2sg7g,Fri,2:00,4
7396,xd94CG9wqwLQvPsrSC1l9A,Thu,17:00,3
7460,Iq1P8S3--gqd50xoQJxpqA,Wed,15:00,2
7566,XggUqVcri5eth2_ZqILqqA,Mon,22:00,1
7636,TQqhfjlPVEz41K_wAogQSQ,Tue,16:00,1
7671,eQL6UKYvkWERh21rF0Blnw,Wed,17:00,1
7740,oSrTdvRGrJ24ofcquIFoPA,Sat,19:00,5
7936,CUGPOzeBRz84cdIOGSXcLw,Sat,23:00,6
7963,Wf7AV7JbR52qABil0bU8NA,Sat,23:00,2
7965,6tTv835MSguUBDpDtVRvMA,Thu,20:00,1
8045,NYf9TKBKPpa1wkA_uwIlfg,Tue,17:00,1
8203,mJAhCy5XbkaeQqMN05h4Yg,Mon,20:00,5
8233,U5pW5iuYdB_8NxEopCnpqQ,Wed,1:00,1
8241,Wtp0Pfnhd7NvUIEawiIjTA,Sat,5:00,1
8308,N3uOrQCnx_n_841Q8EwbzQ,Sun,5:00,6
8366,JfGnBe_IGDV0RZjAADp4yA,Mon,16:00,3
8431,hNuDWMtu56NLz4L1Ghm0aA,Thu,1:00,2
8513,_FLNxsJ6T9WLkAdjwCLEqw,Tue,19:00,2
8580,RmwfJrR4__hd5Scae5qsTw,Tue,21:00,1
8655,hisaMvsxMzo08xigPIwXiA,Fri,0:00,1
8758,kPr9rYEkGwbRLgUHvKljQQ,Sat,1:00,28
8794,XggUqVcri5eth2_ZqILqqA,Sat,18:00,1
8890,NXTsT01IVpKYPpa_1L-Rlw,Wed,3:00,1
9042,JtSNHDRRZffnHBEsJudW-g,Sat,21:00,2
9055,hNuDWMtu56NLz4L1Ghm0aA,Fri,1:00,14
9300,kPr9rYEkGwbRLgUHvKljQQ,Mon,22:00,17
9333,hOxNKZJ8wWg8Q165U7CCqg,Sat,5:00,2
9408,lJDnML8EVAc_muLXhN32Yw,Mon,20:00,2
9493,zRPAUz1Y2pF9GAKyaGdBlw,Fri,16:00,1
9565,kz5UANVmPxpllcoLnZBNhg,Fri,0:00,10
9619,70xPPH9jN7TI9etfueFetA,Wed,22:00,2
9747,QlBh1ACRTx-4ePTgIRPMeQ,Sat,3:00,1
9749,DpWCY7KPhaL_7jonOTSJyA,Fri,23:00,1
9932,scLsLrgdvccvkPZADAj5Qw,Sat,22:00,2
10049,jaoFwU5mqxtw2JpZrM73Yg,Mon,18:00,1
10188,0ETtpZSd6f7q_-o-7gutPg,Thu,15:00,12
10244,ih3ddtApyqb6W3T1mkdrag,Sun,21:00,1
10393,uteI0OIVarN_qkmORgPPgg,Sun,16:00,1
10590,NYxVVeeI-zz2qjPKk6FCwg,Mon,13:00,1
10826,cgoS2M0ghmdAQM1fvf-I9Q,Sat,3:00,1
10856,C37hwsGUHn_3-il0ypeY-Q,Sat,0:00,13
11102,z9lOfnUorcbWR_xS0DSeHw,Tue,19:00,1
11155,nVw5MK7dBw_JzoH82DCfJw,Wed,10:00,1
11192,XxnQKE9jTD0bTE3LZ5NOtQ,Mon,18:00,4
11397,Lu11ceuxJWh3dgRaPZGbsQ,Wed,17:00,1
11487,VLM7exTU8wRmPVxI4uKi1w,Fri,17:00,1
11496,qB5m-TgJx_zeWKLLxKRfUA,Thu,19:00,2
11594,kz5UANVmPxpllcoLnZBNhg,Wed,1:00,5
11710,yfvldEvsIfzcvWqmU8un3w,Tue,17:00,1
11766,-pV9kWNoA9vyHfM_auYecA,Wed,3:00,4
11781,sPd3E7lFzd_yooiq-ekxtQ,Wed,3:00,1
11877,AtkoIv3EEqLivpg95PzP1A,Wed,2:00,1
11941,ceuvH6NpDhpT1p4q1w93pA,Tue,17:00,1
12075,NYf9TKBKPpa1wkA_uwIlfg,Sat,4:00,8
12160,aYjZc-3aVbPIPaJgGiUK_A,Tue,0:00,2
12236,_xcDTH9G4LDqADfpmok6SQ,Sat,23:00,1
12335,cf0LXwdYZ_9y0BVK-un9ow,Wed,17:00,2
12432,29iErFPoWBTbIVPpp9qSyg,Tue,23:00,3
12535,Wf7AV7JbR52qABil0bU8NA,Mon,1:00,1
12662,nnGqETrosXjIcqP4CFUK8A,Sun,18:00,1
12691,t67GMPZ0cv_ItKlID-JFiQ,Sat,17:00,13
12868,eYE7zd30ltLAS1V3ssdtrQ,Sun,16:00,2
13035,7iZYl52Gtica73shRYsuMQ,Thu,20:00,2
13081,c7ZTyqSG4v4ZVwK3vuDklQ,Thu,5:00,2
13251,2cetuQgbP1Bnzm-uMRlocQ,Sat,17:00,4
13405,caMVCmuEG4rIV8HtTdU9jA,Fri,1:00,2
13861,hVzRXGGhRJfTXIasO3bq1w,Tue,3:00,1
14060,eRGTss9r2Et8s_1UiPBKOg,Thu,23:00,1
14073,NiBzh0kHusvH5rdnpm7yVw,Mon,19:00,2
14177,2vzUzl31fFLHKhM6px-rbg,Thu,1:00,2
14185,K6LwZagSz-cUrCcVemXrlA,Thu,0:00,1
14284,_euNvs0P14284FXN1vZ_Pw,Mon,15:00,2
14421,iRHTFqobTR2mQaDg2-Yojg,Sun,1:00,1
14481,cugTYtxVL2Q6Kkd8w4xMNw,Fri,2:00,1
14709,7q7qaGPUUCqMljdIGwzvFQ,Fri,16:00,4
14878,gVTna38clthQRSd9doGYjg,Sat,12:00,1
14922,yxj0P4O-ydn2KTzOut86QA,Sun,2:00,1
14951,C3R2BmF0YdyOIEd0jsqILA,Wed,23:00,1
14963,opdNlNy2oGE2mxuS0SXR1Q,Thu,16:00,8
15125,YXd7yVn-dvbPTYAgQ0V0LQ,Thu,22:00,1
15162,h7hgUiuQ9vSczhKdV5YgGw,Sat,3:00,2
15172,zjwdU1OdlbKTGjm-IfD4TQ,Mon,22:00,2
15236,h9ELiqDfwNktCvLEu1DDNg,Mon,14:00,1
15280,VbRT8CJlnCO9_rd0zW-rUw,Sun,4:00,2
15309,yPgUkQxj8CYPKF89HV65kg,Mon,17:00,1
15435,FnTbrBUCuaSOlWnovTgMjg,Sat,23:00,1
15450,lv_ngvbgwcP5pd2hauMOTw,Fri,2:00,1
15562,vL2XhH5KWVY9ZV6SCjmwCQ,Tue,12:00,2
15595,nsw3tlB-hwz4KbPYcuaSww,Sun,22:00,5
15805,XxnQKE9jTD0bTE3LZ5NOtQ,Sun,19:00,12
15987,cUy8ww2wcqW-1RJLNSvBkA,Fri,16:00,3
16059,YycuwgvTtOG7HBYW_cwvkg,Mon,4:00,1
16140,jz_q2_QTq_CdDbOtY2FSXg,Mon,17:00,3
16405,2hGAmn6CJKT-Q1deaEBtGw,Fri,1:00,1
16417,_tJ1mf_KEL4sx5fh9DTtTw,Sun,13:00,1
16540,nM2Jl9GS7IGlluey8ieivg,Fri,21:00,3
16668,JBX0Bd9Va4_MtLPwX9Oosg,Sat,18:00,2
16795,OoI3WUe4Xl86d53avy3oVA,Sat,0:00,27
16876,rdXAuI2fKilcf65W-QoASQ,Tue,19:00,1
16977,l6ChWz5fwhkvuEmThuFl5w,Wed,21:00,3
17085,JfGnBe_IGDV0RZjAADp4yA,Sat,14:00,18
17096,WnUYubIggifyyDFTm4QHlw,Thu,23:00,1
17123,azJAJh8oivpsU9HzlLS6EA,Sun,18:00,1
17591,jz_q2_QTq_CdDbOtY2FSXg,Wed,14:00,10
17604,15LjiMzeVbTpQgaFBWO32A,Sat,23:00,1
17758,ecXP80GWT6zZ2qqZHpUCtQ,Sat,1:00,3
17990,JrNMDwyiOGruhvf4coLn2A,Mon,17:00,1
18033,xzGUXMDKa2xw_TJ2n4WrNw,Sun,17:00,1
18056,R8L9VLO5jHfzPA5rHiujIA,Fri,1:00,1
18079,_DpnhekFOZDPNBDekWpx4A,Wed,21:00,2
18134,UFyzcr1y2r3y-e_tNpA9VA,Sun,17:00,4
18327,krsjoEks-XF-PLKjOJW66A,Sat,23:00,2
18384,6zZDTZ4ZZEYfN268iPz0uQ,Mon,0:00,7
18386,-IoO4qZCdIQNgj2vCt9hqA,Sat,22:00,4
18441,p43Do6Lc9zdUMBFIVT3c0Q,Tue,15:00,3
18703,5p5YW_5bMOSuLIQjkJPO3w,Thu,4:00,1
18824,c26Nbb6i7OeMCvg7Cs4QSw,Tue,16:00,1
18914,imBVeP4aA-aLTdPD-t8_WQ,Sat,22:00,1
19052,BvyUXno0grQerd5cZGDFPw,Sat,1:00,1
19146,HHCn1akqIpl_BhdcJoYPbw,Fri,19:00,10
19240,d4JTF7OUIMpxpIHVl9wPJA,Sun,1:00,6
19269,Sh_c-UZ8Tk_H1porVieNmA,Sun,23:00,5
19380,Woqed5Fw95J6oEZxIHiBgg,Sat,3:00,2
