EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5440237,DANE CO.,MAZOMANIE,03/30/2005,1331,Hail,0.75, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,LAW ENFORCEMENT, , , , , , , ,MAZOMANIE,43.17,-89.78,43.17,-89.78,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",1
5440238,DANE CO.,MIDDLETON,03/30/2005,1335,Hail,0.88, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,LAW ENFORCEMENT, , , ,5,W,5,W,MIDDLETON,43.10,-89.60,43.10,-89.60,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",2
5440239,DANE CO.,WAUNAKEE,03/30/2005,1355,Hail,0.75, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,TRAINED SPOTTER, , , ,4,W, , ,WAUNAKEE,43.18,-89.52,43.18,-89.45,"Ground covered white.","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",3
5440248,DANE CO.,SUN PRAIRIE,03/30/2005,1403,Hail,1.25, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,AMATEUR RADIO, , , ,3,N,3,N,SUN PRAIRIE,43.23,-89.20,43.23,-89.20,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",4
5440241,DANE CO.,MADISON,03/30/2005,1405,Hail,1.25, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,TRAINED SPOTTER, , , ,1,S,5,W,MADISON,43.07,-89.42,43.07,-89.52,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",5
5440242,DANE CO.,WAUNAKEE,03/30/2005,1410,Tornado, ,F0,0,0,2000,0,WI,CST, ,1185661,C,25,MKX,0,0,NWS STORM SURVEY, ,.2,50,2,E,2,E,WAUNAKEE,43.18,-89.42,43.18,-89.42,"A weak F0 tornado spun up east of Waunakee on a seed farm on the north side of State Highway 19.  It slightly damaged the corner overhang of a storage shed, blew a wagon and plastic crates into a field, and rotated a heavy forklift while the operator was sitting in it.  The winds were estimated at 56 to 61 knots (65 to 70 mph).","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",6
5440240,DANE CO.,WAUNAKEE,03/30/2005,1420,Hail,0.75, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,AMATEUR RADIO, , , ,0,SE,0,SE,WAUNAKEE,43.18,-89.45,43.18,-89.45,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",7
5440244,DANE CO.,DE FOREST,03/30/2005,1420,Funnel Cloud, , ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,LAW ENFORCEMENT, , , ,0,NW,0,NW,DE FOREST, , , , ,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",8
5440330,DANE CO.,MADISON,03/30/2005,1435,Hail,1.50, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,TRAINED SPOTTER, , , ,4,SSE,4,SSE,MADISON,43.02,-89.38,43.02,-89.38,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",9
5440245,DANE CO.,SUN PRAIRIE,03/30/2005,1452,Hail,1.25, ,0,0,0,0,WI,CST, ,1185661,C,25,MKX,0,0,TRAINED SPOTTER, , , ,2,N,2,N,SUN PRAIRIE,43.22,-89.20,43.22,-89.20,"","An unusually early-season severe weather outbreak (first of the season), consisting of 3 rounds of widespread, severe storms, affected south-central and southeast Wisconsin on March 30, 2005.  One brief tornado was documented, and there were numerous reports of large hail and damaging, straight-line, downburst, thunderstorm winds.  Most of the larger hailstones consisted of clumps of soft hail of various sizes.  The responsible surface low-pressure system developed in the Plains during the morning hours, and moved to northwest Wisconsin by the late evening hours.  Meanwhile, an associated surface warm front surged north into central Wisconsin during the morning hours, bringing unseasonably warm air into the area.  Maximum afternoon temperatures ranged from the upper 60s to mid 70s inland from Lake Michigan, with the highest reading of 77 in Janesville and 9NW Beloit.

As instability increased during the morning, isolated thunderstorms developed across eastern part of the state of Iowa.  These storms grew more intense and moved into south-central and southwest Wisconsin.  The first round of severe thunderstorms occurred as an elongated supercell crossed the Illinois/Wisconsin border and into Lafayette and Iowa counties between 1130 and 1220CST.  This storm produced .75 to 1.50 inch diameter hail before moving into Dane county where it split into two supercells.  The northern most supercell briefly produced an F0 tornado just east of Waunakee.  Both of these storms continued through Columbia, Dodge, and Fond du Lac counties where they produced funnel clouds, wind gusts to 56 knots (65 mph), and .75 to 1.25 inch diameter hail.  

As clouds began to decrease in the wake of these supercells, instability increased and scattered thunderstorms re-developed across south-central and southeast Wisconsin during the afternoon.  These storms quickly pulsed to severe limits, producing wind gusts generally between 52 and 60 knots (60 to 70 mph) and 3/4 to 1 inch diameter hail.  One thunderstorm's gust front produced a gustnado just northwest of St. Lawrence (Washington Co.) with estimated wind gusts to 65 knots (75 mph).

The final round of severe thunderstorms (just ahead of a cold front) developed across northeast Illinois and pushed through southeast Wisconsin between 1700 and 1900CST.  These storms produced 3/4 to 1 inch diameter hail, and wind gusts to around 52 knots (60 mph) across portions of Milwaukee, Waukesha, Walworth, Racine, and Kenosha counties.  The damaging winds blew over a billboard in Kenosha county and parts of a roof and power lines were found on a roadway in Racine county.",10
